Region,Year,GRDP,PriceType
Region I (Ilocos Region),2001,245289940,Constant 2018 Prices
Region II (Cagayan Valley),2001,163979540,Constant 2018 Prices
Region III (Central Luzon),2001,749289527,Constant 2018 Prices
Region IV-A (CALABARZON),2001,1068135114,Constant 2018 Prices
MIMAROPA Region,2001,129576632,Constant 2018 Prices
Region V (Bicol Region),2001,181995859,Constant 2018 Prices
Region VI (Western Visayas),2001,331474894,Constant 2018 Prices
Region VII (Central Visayas),2001,398961448,Constant 2018 Prices
Region VIII (Eastern Visayas),2001,201720341,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2001,156632083,Constant 2018 Prices
Region X (Northern Mindanao),2001,272386379,Constant 2018 Prices
Region XI (Davao Region),2001,293475895,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2001,176820019,Constant 2018 Prices
Region XIII (Caraga),2001,101609542,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2001,94136902,Constant 2018 Prices
Philippines,2001,7198383735,Constant 2018 Prices
National Capital Region (NCR),2002,2507171644,Constant 2018 Prices
Cordillera Administrative Region (CAR),2002,156294714,Constant 2018 Prices
Region I (Ilocos Region),2002,252727880,Constant 2018 Prices
Region II (Cagayan Valley),2002,166495687,Constant 2018 Prices
Region III (Central Luzon),2002,791683392,Constant 2018 Prices
Region IV-A (CALABARZON),2002,1120500727,Constant 2018 Prices
MIMAROPA Region,2002,148590811,Constant 2018 Prices
Region V (Bicol Region),2002,189219301,Constant 2018 Prices
Region VI (Western Visayas),2002,340556420,Constant 2018 Prices
Region VII (Central Visayas),2002,406689373,Constant 2018 Prices
Region VIII (Eastern Visayas),2002,207527497,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2002,161152567,Constant 2018 Prices
Region X (Northern Mindanao),2002,299873812,Constant 2018 Prices
Region XI (Davao Region),2002,309524303,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2002,194583624,Constant 2018 Prices
Region XIII (Caraga),2002,107557223,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2002,105745055,Constant 2018 Prices
Philippines,2002,7465894031,Constant 2018 Prices
National Capital Region (NCR),2003,2624052475,Constant 2018 Prices
Cordillera Administrative Region (CAR),2003,164434850,Constant 2018 Prices
Region I (Ilocos Region),2003,264116263,Constant 2018 Prices
Region II (Cagayan Valley),2003,170783478,Constant 2018 Prices
Region III (Central Luzon),2003,826169061,Constant 2018 Prices
Region IV-A (CALABARZON),2003,1179350176,Constant 2018 Prices
MIMAROPA Region,2003,163145111,Constant 2018 Prices
Region V (Bicol Region),2003,199696474,Constant 2018 Prices
Region VI (Western Visayas),2003,360566385,Constant 2018 Prices
Region VII (Central Visayas),2003,424323970,Constant 2018 Prices
Region VIII (Eastern Visayas),2003,219236477,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2003,168261350,Constant 2018 Prices
Region X (Northern Mindanao),2003,319682061,Constant 2018 Prices
Region XI (Davao Region),2003,331450707,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2003,206949168,Constant 2018 Prices
Region XIII (Caraga),2003,112632685,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2003,110826733,Constant 2018 Prices
Philippines,2003,7845677426,Constant 2018 Prices
National Capital Region (NCR),2004,2841837836,Constant 2018 Prices
Cordillera Administrative Region (CAR),2004,173236667,Constant 2018 Prices
Region I (Ilocos Region),2004,277856799,Constant 2018 Prices
Region II (Cagayan Valley),2004,186059551,Constant 2018 Prices
Region III (Central Luzon),2004,852296755,Constant 2018 Prices
Region IV-A (CALABARZON),2004,1244396888,Constant 2018 Prices
MIMAROPA Region,2004,169206374,Constant 2018 Prices
Region V (Bicol Region),2004,210676947,Constant 2018 Prices
Region VI (Western Visayas),2004,388102456,Constant 2018 Prices
Region VII (Central Visayas),2004,453194307,Constant 2018 Prices
Region VIII (Eastern Visayas),2004,231739076,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2004,175819789,Constant 2018 Prices
Region X (Northern Mindanao),2004,346219338,Constant 2018 Prices
Region XI (Davao Region),2004,352703211,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2004,218756257,Constant 2018 Prices
Region XIII (Caraga),2004,119223129,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2004,119752524,Constant 2018 Prices
Philippines,2004,8361077904,Constant 2018 Prices
National Capital Region (NCR),2005,2988546218,Constant 2018 Prices
Cordillera Administrative Region (CAR),2005,176315299,Constant 2018 Prices
Region I (Ilocos Region),2005,290757292,Constant 2018 Prices
Region II (Cagayan Valley),2005,182540224,Constant 2018 Prices
Region III (Central Luzon),2005,885593565,Constant 2018 Prices
Region IV-A (CALABARZON),2005,1310160075,Constant 2018 Prices
MIMAROPA Region,2005,184832219,Constant 2018 Prices
Region V (Bicol Region),2005,222207767,Constant 2018 Prices
Region VI (Western Visayas),2005,407685036,Constant 2018 Prices
Region VII (Central Visayas),2005,485139298,Constant 2018 Prices
Region VIII (Eastern Visayas),2005,245209038,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2005,188931320,Constant 2018 Prices
Region X (Northern Mindanao),2005,364973391,Constant 2018 Prices
Region XI (Davao Region),2005,367442175,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2005,223108764,Constant 2018 Prices
Region XIII (Caraga),2005,124555442,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2005,126327483,Constant 2018 Prices
Philippines,2005,8774324608,Constant 2018 Prices
National Capital Region (NCR),2006,3157102605,Constant 2018 Prices
Cordillera Administrative Region (CAR),2006,182923099,Constant 2018 Prices
Region I (Ilocos Region),2006,307818091,Constant 2018 Prices
Region II (Cagayan Valley),2006,200542676,Constant 2018 Prices
Region III (Central Luzon),2006,927301530,Constant 2018 Prices
Region IV-A (CALABARZON),2006,1369674210,Constant 2018 Prices
MIMAROPA Region,2006,191998208,Constant 2018 Prices
Region V (Bicol Region),2006,229731835,Constant 2018 Prices
Region VI (Western Visayas),2006,430039527,Constant 2018 Prices
Region VII (Central Visayas),2006,507783275,Constant 2018 Prices
Region VIII (Eastern Visayas),2006,261794426,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2006,196123519,Constant 2018 Prices
Region X (Northern Mindanao),2006,389672303,Constant 2018 Prices
Region XI (Davao Region),2006,384620255,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2006,237237885,Constant 2018 Prices
Region XIII (Caraga),2006,132729349,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2006,133711481,Constant 2018 Prices
Philippines,2006,9240804277,Constant 2018 Prices
National Capital Region (NCR),2007,3372129301,Constant 2018 Prices
Cordillera Administrative Region (CAR),2007,196165501,Constant 2018 Prices
Region I (Ilocos Region),2007,326055249,Constant 2018 Prices
Region II (Cagayan Valley),2007,213644370,Constant 2018 Prices
Region III (Central Luzon),2007,981902705,Constant 2018 Prices
Region IV-A (CALABARZON),2007,1446188225,Constant 2018 Prices
MIMAROPA Region,2007,210149963,Constant 2018 Prices
Region V (Bicol Region),2007,246621525,Constant 2018 Prices
Region VI (Western Visayas),2007,458869067,Constant 2018 Prices
Region VII (Central Visayas),2007,549142789,Constant 2018 Prices
Region VIII (Eastern Visayas),2007,270150926,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2007,211043562,Constant 2018 Prices
Region X (Northern Mindanao),2007,418466127,Constant 2018 Prices
Region XI (Davao Region),2007,408318046,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2007,252449432,Constant 2018 Prices
Region XIII (Caraga),2007,141280994,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2007,140661469,Constant 2018 Prices
Philippines,2007,9843239249,Constant 2018 Prices
National Capital Region (NCR),2008,3524902698,Constant 2018 Prices
Cordillera Administrative Region (CAR),2008,203317240,Constant 2018 Prices
Region I (Ilocos Region),2008,335759337,Constant 2018 Prices
Region II (Cagayan Valley),2008,218872182,Constant 2018 Prices
Region III (Central Luzon),2008,1032623864,Constant 2018 Prices
Region IV-A (CALABARZON),2008,1497994676,Constant 2018 Prices
MIMAROPA Region,2008,220607038,Constant 2018 Prices
Region V (Bicol Region),2008,259226365,Constant 2018 Prices
Region VI (Western Visayas),2008,480892689,Constant 2018 Prices
Region VII (Central Visayas),2008,577396656,Constant 2018 Prices
Region VIII (Eastern Visayas),2008,283219881,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2008,217350412,Constant 2018 Prices
Region X (Northern Mindanao),2008,441550494,Constant 2018 Prices
Region XI (Davao Region),2008,424207244,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2008,264630696,Constant 2018 Prices
Region XIII (Caraga),2008,145216552,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2008,143109506,Constant 2018 Prices
Philippines,2008,10270877529,Constant 2018 Prices
National Capital Region (NCR),2009,3522558104,Constant 2018 Prices
Cordillera Administrative Region (CAR),2009,207767713,Constant 2018 Prices
Region I (Ilocos Region),2009,335356395,Constant 2018 Prices
Region II (Cagayan Valley),2009,223636839,Constant 2018 Prices
Region III (Central Luzon),2009,1039474095,Constant 2018 Prices
Region IV-A (CALABARZON),2009,1486472826,Constant 2018 Prices
MIMAROPA Region,2009,230687037,Constant 2018 Prices
Region V (Bicol Region),2009,277463581,Constant 2018 Prices
Region VI (Western Visayas),2009,507844955,Constant 2018 Prices
Region VII (Central Visayas),2009,594859094,Constant 2018 Prices
Region VIII (Eastern Visayas),2009,294361211,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2009,232017626,Constant 2018 Prices
Region X (Northern Mindanao),2009,456214263,Constant 2018 Prices
Region XI (Davao Region),2009,445109409,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2009,269570793,Constant 2018 Prices
Region XIII (Caraga),2009,148064425,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2009,148174653,Constant 2018 Prices
Philippines,2009,10419633017,Constant 2018 Prices
National Capital Region (NCR),2010,3745124533,Constant 2018 Prices
Cordillera Administrative Region (CAR),2010,220343710,Constant 2018 Prices
Region I (Ilocos Region),2010,364366356,Constant 2018 Prices
Region II (Cagayan Valley),2010,232748963,Constant 2018 Prices
Region III (Central Luzon),2010,1143777786,Constant 2018 Prices
Region IV-A (CALABARZON),2010,1638482343,Constant 2018 Prices
MIMAROPA Region,2010,232547423,Constant 2018 Prices
Region V (Bicol Region),2010,293875751,Constant 2018 Prices
Region VI (Western Visayas),2010,531457374,Constant 2018 Prices
Region VII (Central Visayas),2010,666353769,Constant 2018 Prices
Region VIII (Eastern Visayas),2010,311990058,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2010,239770872,Constant 2018 Prices
Region X (Northern Mindanao),2010,484523975,Constant 2018 Prices
Region XI (Davao Region),2010,474508281,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2010,278784645,Constant 2018 Prices
Region XIII (Caraga),2010,163468004,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2010,161737153,Constant 2018 Prices
Philippines,2010,11183860997,Constant 2018 Prices
National Capital Region (NCR),2011,3833040760,Constant 2018 Prices
Cordillera Administrative Region (CAR),2011,221420475,Constant 2018 Prices
Region I (Ilocos Region),2011,378621382,Constant 2018 Prices
Region II (Cagayan Valley),2011,247587301,Constant 2018 Prices
Region III (Central Luzon),2011,1233431610,Constant 2018 Prices
Region IV-A (CALABARZON),2011,1676719329,Constant 2018 Prices
MIMAROPA Region,2011,241561347,Constant 2018 Prices
Region V (Bicol Region),2011,304077556,Constant 2018 Prices
Region VI (Western Visayas),2011,564705465,Constant 2018 Prices
Region VII (Central Visayas),2011,713605729,Constant 2018 Prices
Region VIII (Eastern Visayas),2011,320330763,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2011,240130505,Constant 2018 Prices
Region X (Northern Mindanao),2011,513466854,Constant 2018 Prices
Region XI (Davao Region),2011,493082130,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2011,292232263,Constant 2018 Prices
Region XIII (Caraga),2011,174932167,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2011,166414758,Constant 2018 Prices
Philippines,2011,11615360393,Constant 2018 Prices
National Capital Region (NCR),2012,4072189800,Constant 2018 Prices
Cordillera Administrative Region (CAR),2012,221950621,Constant 2018 Prices
Region I (Ilocos Region),2012,398616600,Constant 2018 Prices
Region II (Cagayan Valley),2012,264876624,Constant 2018 Prices
Region III (Central Luzon),2012,1336963348,Constant 2018 Prices
Region IV-A (CALABARZON),2012,1809708699,Constant 2018 Prices
MIMAROPA Region,2012,254595082,Constant 2018 Prices
Region V (Bicol Region),2012,334658891,Constant 2018 Prices
Region VI (Western Visayas),2012,605376449,Constant 2018 Prices
Region VII (Central Visayas),2012,779760030,Constant 2018 Prices
Region VIII (Eastern Visayas),2012,312295545,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2012,267034112,Constant 2018 Prices
Region X (Northern Mindanao),2012,551141548,Constant 2018 Prices
Region XI (Davao Region),2012,528097604,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2012,315391176,Constant 2018 Prices
Region XIII (Caraga),2012,193102956,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2012,170707107,Constant 2018 Prices
Philippines,2012,12416466190,Constant 2018 Prices
National Capital Region (NCR),2013,4339858704,Constant 2018 Prices
Cordillera Administrative Region (CAR),2013,236871362,Constant 2018 Prices
Region I (Ilocos Region),2013,432692177,Constant 2018 Prices
Region II (Cagayan Valley),2013,288512422,Constant 2018 Prices
Region III (Central Luzon),2013,1417025690,Constant 2018 Prices
Region IV-A (CALABARZON),2013,1942476533,Constant 2018 Prices
MIMAROPA Region,2013,265363628,Constant 2018 Prices
Region V (Bicol Region),2013,368570786,Constant 2018 Prices
Region VI (Western Visayas),2013,631660677,Constant 2018 Prices
Region VII (Central Visayas),2013,841425750,Constant 2018 Prices
Region VIII (Eastern Visayas),2013,331113701,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2013,281049615,Constant 2018 Prices
Region X (Northern Mindanao),2013,583766826,Constant 2018 Prices
Region XI (Davao Region),2013,560762183,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2013,343680815,Constant 2018 Prices
Region XIII (Caraga),2013,211269822,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2013,178542938,Constant 2018 Prices
Philippines,2013,13254643627,Constant 2018 Prices
National Capital Region (NCR),2014,4576914911,Constant 2018 Prices
Cordillera Administrative Region (CAR),2014,248982342,Constant 2018 Prices
Region I (Ilocos Region),2014,461217885,Constant 2018 Prices
Region II (Cagayan Valley),2014,312814849,Constant 2018 Prices
Region III (Central Luzon),2014,1526621058,Constant 2018 Prices
Region IV-A (CALABARZON),2014,2054936917,Constant 2018 Prices
MIMAROPA Region,2014,292033215,Constant 2018 Prices
Region V (Bicol Region),2014,390488251,Constant 2018 Prices
Region VI (Western Visayas),2014,665091892,Constant 2018 Prices
Region VII (Central Visayas),2014,903755199,Constant 2018 Prices
Region VIII (Eastern Visayas),2014,331605886,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2014,301747243,Constant 2018 Prices
Region X (Northern Mindanao),2014,633651974,Constant 2018 Prices
Region XI (Davao Region),2014,611602549,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2014,364657867,Constant 2018 Prices
Region XIII (Caraga),2014,230076396,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2014,189848311,Constant 2018 Prices
Philippines,2014,14096046745,Constant 2018 Prices
National Capital Region (NCR),2015,4865073608,Constant 2018 Prices
Cordillera Administrative Region (CAR),2015,259526063,Constant 2018 Prices
Region I (Ilocos Region),2015,486062080,Constant 2018 Prices
Region II (Cagayan Valley),2015,325728274,Constant 2018 Prices
Region III (Central Luzon),2015,1619134911,Constant 2018 Prices
Region IV-A (CALABARZON),2015,2196313576,Constant 2018 Prices
MIMAROPA Region,2015,305952533,Constant 2018 Prices
Region V (Bicol Region),2015,431896619,Constant 2018 Prices
Region VI (Western Visayas),2015,715495909,Constant 2018 Prices
Region VII (Central Visayas),2015,958557189,Constant 2018 Prices
Region VIII (Eastern Visayas),2015,352680877,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2015,329285978,Constant 2018 Prices
Region X (Northern Mindanao),2015,670356960,Constant 2018 Prices
Region XI (Davao Region),2015,660489974,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2015,377171442,Constant 2018 Prices
Region XIII (Caraga),2015,245363390,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2015,191818068,Constant 2018 Prices
Philippines,2015,14990907450,Constant 2018 Prices
National Capital Region (NCR),2016,5216091453,Constant 2018 Prices
Cordillera Administrative Region (CAR),2016,266691916,Constant 2018 Prices
Region I (Ilocos Region),2016,525389666,Constant 2018 Prices
Region II (Cagayan Valley),2016,341540501,Constant 2018 Prices
Region III (Central Luzon),2016,1747565400,Constant 2018 Prices
Region IV-A (CALABARZON),2016,2346818115,Constant 2018 Prices
MIMAROPA Region,2016,321170118,Constant 2018 Prices
Region V (Bicol Region),2016,462821105,Constant 2018 Prices
Region VI (Western Visayas),2016,758042789,Constant 2018 Prices
Region VII (Central Visayas),2016,1029641257,Constant 2018 Prices
Region VIII (Eastern Visayas),2016,402993768,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2016,346005979,Constant 2018 Prices
Region X (Northern Mindanao),2016,723308958,Constant 2018 Prices
Region XI (Davao Region),2016,721550629,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2016,394076962,Constant 2018 Prices
Region XIII (Caraga),2016,260522888,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2016,198444393,Constant 2018 Prices
Philippines,2016,16062675895,Constant 2018 Prices
National Capital Region (NCR),2017,5507681038,Constant 2018 Prices
Cordillera Administrative Region (CAR),2017,291775205,Constant 2018 Prices
Region I (Ilocos Region),2017,554680762,Constant 2018 Prices
Region II (Cagayan Valley),2017,368250759,Constant 2018 Prices
Region III (Central Luzon),2017,1929193858,Constant 2018 Prices
Region IV-A (CALABARZON),2017,2527658901,Constant 2018 Prices
MIMAROPA Region,2017,341505717,Constant 2018 Prices
Region V (Bicol Region),2017,488370132,Constant 2018 Prices
Region VI (Western Visayas),2017,820773095,Constant 2018 Prices
Region VII (Central Visayas),2017,1102761503,Constant 2018 Prices
Region VIII (Eastern Visayas),2017,415257479,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2017,356798449,Constant 2018 Prices
Region X (Northern Mindanao),2017,766435831,Constant 2018 Prices
Region XI (Davao Region),2017,785051181,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2017,424972061,Constant 2018 Prices
Region XIII (Caraga),2017,276299208,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2017,218512906,Constant 2018 Prices
Philippines,2017,17175978086,Constant 2018 Prices
National Capital Region (NCR),2018,5814440130,Constant 2018 Prices
Cordillera Administrative Region (CAR),2018,308267122,Constant 2018 Prices
Region I (Ilocos Region),2018,587597251,Constant 2018 Prices
Region II (Cagayan Valley),2018,385061271,Constant 2018 Prices
Region III (Central Luzon),2018,2062393875,Constant 2018 Prices
Region IV-A (CALABARZON),2018,2706994745,Constant 2018 Prices
MIMAROPA Region,2018,370744808,Constant 2018 Prices
Region V (Bicol Region),2018,522014835,Constant 2018 Prices
Region VI (Western Visayas),2018,860107768,Constant 2018 Prices
Region VII (Central Visayas),2018,1180945761,Constant 2018 Prices
Region VIII (Eastern Visayas),2018,444384029,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2018,379428020,Constant 2018 Prices
Region X (Northern Mindanao),2018,821122015,Constant 2018 Prices
Region XI (Davao Region),2018,841429225,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2018,454304549,Constant 2018 Prices
Region XIII (Caraga),2018,290561794,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2018,235393060,Constant 2018 Prices
Philippines,2018,18265190258,Constant 2018 Prices
National Capital Region (NCR),2019,6224134457,Constant 2018 Prices
Cordillera Administrative Region (CAR),2019,321722276,Constant 2018 Prices
Region I (Ilocos Region),2019,630362667,Constant 2018 Prices
Region II (Cagayan Valley),2019,411513567,Constant 2018 Prices
Region III (Central Luzon),2019,2183779631,Constant 2018 Prices
Region IV-A (CALABARZON),2019,2831599919,Constant 2018 Prices
MIMAROPA Region,2019,386783632,Constant 2018 Prices
Region V (Bicol Region),2019,564941774,Constant 2018 Prices
Region VI (Western Visayas),2019,913909365,Constant 2018 Prices
Region VII (Central Visayas),2019,1254113393,Constant 2018 Prices
Region VIII (Eastern Visayas),2019,469292504,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2019,396878798,Constant 2018 Prices
Region X (Northern Mindanao),2019,867432424,Constant 2018 Prices
Region XI (Davao Region),2019,900885668,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2019,469982193,Constant 2018 Prices
Region XIII (Caraga),2019,306260878,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2019,249157465,Constant 2018 Prices
Philippines,2019,19382750611,Constant 2018 Prices
National Capital Region (NCR),2020,5599931197,Constant 2018 Prices
Cordillera Administrative Region (CAR),2020,288876582,Constant 2018 Prices
Region I (Ilocos Region),2020,581877977,Constant 2018 Prices
Region II (Cagayan Valley),2020,371102979,Constant 2018 Prices
Region III (Central Luzon),2020,1881277315,Constant 2018 Prices
Region IV-A (CALABARZON),2020,2534444265,Constant 2018 Prices
MIMAROPA Region,2020,357780630,Constant 2018 Prices
Region V (Bicol Region),2020,517770299,Constant 2018 Prices
Region VI (Western Visayas),2020,825369599,Constant 2018 Prices
Region VII (Central Visayas),2020,1134912345,Constant 2018 Prices
Region VIII (Eastern Visayas),2020,434767718,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2020,376299326,Constant 2018 Prices
Region X (Northern Mindanao),2020,821433093,Constant 2018 Prices
Region XI (Davao Region),2020,833225496,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2020,449247792,Constant 2018 Prices
Region XIII (Caraga),2020,285001928,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020,244524738,Constant 2018 Prices
Philippines,2020,17537843279,Constant 2018 Prices
National Capital Region (NCR),2021,5845619151,Constant 2018 Prices
Cordillera Administrative Region (CAR),2021,310765858,Constant 2018 Prices
Region I (Ilocos Region),2021,608618834,Constant 2018 Prices
Region II (Cagayan Valley),2021,389954561,Constant 2018 Prices
Region III (Central Luzon),2021,2021186175,Constant 2018 Prices
Region IV-A (CALABARZON),2021,2728935837,Constant 2018 Prices
MIMAROPA Region,2021,369725008,Constant 2018 Prices
Region V (Bicol Region),2021,540189747,Constant 2018 Prices
Region VI (Western Visayas),2021,874086695,Constant 2018 Prices
Region VII (Central Visayas),2021,1195978557,Constant 2018 Prices
Region VIII (Eastern Visayas),2021,461066832,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2021,397862811,Constant 2018 Prices
Region X (Northern Mindanao),2021,872805112,Constant 2018 Prices
Region XI (Davao Region),2021,882189256,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2021,472510818,Constant 2018 Prices
Region XIII (Caraga),2021,305704709,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2021,262884259,Constant 2018 Prices
Philippines,2021,18540084220,Constant 2018 Prices
National Capital Region (NCR),2022,6268351531,Constant 2018 Prices
Cordillera Administrative Region (CAR),2022,337753055,Constant 2018 Prices
Region I (Ilocos Region),2022,654835322,Constant 2018 Prices
Region II (Cagayan Valley),2022,421045562,Constant 2018 Prices
Region III (Central Luzon),2022,2184784695,Constant 2018 Prices
Region IV-A (CALABARZON),2022,2942514950,Constant 2018 Prices
MIMAROPA Region,2022,392967267,Constant 2018 Prices
Region V (Bicol Region),2022,583603946,Constant 2018 Prices
Region VI (Western Visayas),2022,955136055,Constant 2018 Prices
Region VII (Central Visayas),2022,1287438109,Constant 2018 Prices
Region VIII (Eastern Visayas),2022,492180254,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2022,427670777,Constant 2018 Prices
Region X (Northern Mindanao),2022,935273521,Constant 2018 Prices
Region XI (Davao Region),2022,954232421,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2022,503656063,Constant 2018 Prices
Region XIII (Caraga),2022,323893245,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2022,280267918,Constant 2018 Prices
Philippines,2022,19945604691,Constant 2018 Prices
National Capital Region (NCR),2023,6574340155,Constant 2018 Prices
Cordillera Administrative Region (CAR),2023,361078914,Constant 2018 Prices
Region I (Ilocos Region),2023,701468660,Constant 2018 Prices
Region II (Cagayan Valley),2023,447073156,Constant 2018 Prices
Region III (Central Luzon),2023,2318428274,Constant 2018 Prices
Region IV-A (CALABARZON),2023,3095255701,Constant 2018 Prices
MIMAROPA Region,2023,411434973,Constant 2018 Prices
Region V (Bicol Region),2023,610339864,Constant 2018 Prices
Region VI (Western Visayas),2023,1024269862,Constant 2018 Prices
Region VII (Central Visayas),2023,1381172064,Constant 2018 Prices
Region VIII (Eastern Visayas),2023,523561133,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2023,447320967,Constant 2018 Prices
Region X (Northern Mindanao),2023,984750304,Constant 2018 Prices
Region XI (Davao Region),2023,1018200795,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2023,521184984,Constant 2018 Prices
Region XIII (Caraga),2023,339650679,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2023,292227757,Constant 2018 Prices
Philippines,2023,21051758242,Constant 2018 Prices
