Region,Province,City,Year,GRDP_grdp_pc_const,g_grdp_pc_assumed,grdp_growth_source
NCR,NCR,Quezon City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Quezon City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Quezon City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Quezon City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Quezon City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Quezon City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Makati City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Makati City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Makati City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Makati City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Makati City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Makati City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,San Juan City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,San Juan City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,San Juan City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,San Juan City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,San Juan City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,San Juan City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Dasmarinas City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,General Trias City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,General Trias City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,General Trias City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,General Trias City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,General Trias City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,General Trias City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Rizal,Antipolo City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Rizal,Antipolo City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Rizal,Antipolo City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Rizal,Antipolo City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Rizal,Antipolo City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Rizal,Antipolo City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Imus City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Imus City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Imus City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Imus City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Imus City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Imus City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Malolos City,2024,191874.0,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Malolos City,2025,202177.21960706037,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Malolos City,2026,213033.69986575312,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Malolos City,2027,224473.14967876294,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Malolos City,2028,236526.8732527168,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Malolos City,2029,249227.8557625622,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasig City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasig City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasig City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasig City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasig City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasig City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Caloocan City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Trece Martires City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Trece Martires City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Trece Martires City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Trece Martires City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Trece Martires City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Trece Martires City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Taguig City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Taguig City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Taguig City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Taguig City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Taguig City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Taguig City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,191874.0,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,San Jose del Monte City,2025,202177.21960706037,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,San Jose del Monte City,2026,213033.69986575312,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,San Jose del Monte City,2027,224473.14967876294,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,San Jose del Monte City,2028,236526.8732527168,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,San Jose del Monte City,2029,249227.8557625622,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Mandaluyong City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Mandaluyong City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Mandaluyong City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Mandaluyong City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Mandaluyong City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Mandaluyong City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Meycauayan City,2024,191874.0,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Meycauayan City,2025,202177.21960706037,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Meycauayan City,2026,213033.69986575312,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Meycauayan City,2027,224473.14967876294,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Meycauayan City,2028,236526.8732527168,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Bulacan,Meycauayan City,2029,249227.8557625622,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Cabuyao City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Cabuyao City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Cabuyao City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Cabuyao City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Cabuyao City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Cabuyao City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pablo City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pablo City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pablo City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pablo City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pablo City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pablo City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,City of Carmona,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,City of Carmona,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,City of Carmona,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,City of Carmona,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,City of Carmona,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,City of Carmona,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,191874.0,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,San Jose City,2025,202177.21960706037,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,San Jose City,2026,213033.69986575312,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,San Jose City,2027,224473.14967876294,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,San Jose City,2028,236526.8732527168,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,San Jose City,2029,249227.8557625622,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Valenzuela City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Valenzuela City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Valenzuela City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Valenzuela City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Valenzuela City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Valenzuela City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Paranaque City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Paranaque City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Paranaque City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Paranaque City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Paranaque City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Paranaque City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Cavite City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Cavite City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
