Region,Area_display,Area_slug,price,price_per_sqm_floor,price_per_sqm_land,bedrooms,bathrooms,floor_area,land_area,latitude,longitude,description,location
NCR,Quezon City,quezon city,4750000,52089.04485,79166.66667,3.0,2.0,91.19,60.0,14.7055228,121.0742821,"4.75M 3BR Townhouse Unit with 1 Car Garage for Sale in Fairview, Quezon City","Fairview, Quezon City"
NCR,Pasig,pasig,7000000,69790.62812,97222.22222,3.0,2.0,100.3,72.0,14.5658684,121.0855568,"3-Bedroom Duplex House and Lot For Sale in San Miguel, Pasig City","San Miguel, Pasig"
NCR,San Juan,san juan,85000000,78703.7037,50000.0,5.0,6.0,1080.0,1700.0,13.7367475,121.420371,"A White Beachfront Resthouse for Sale in San Juan, Batangas","Calubcub II, San Juan"
NCR,Pasig,pasig,26950000,53900.0,74447.51381,5.0,,500.0,362.0,14.5658684,121.0855568,Newly painted House and Lot for Sale in Greenwoods Executive Village Pasig City,"San Miguel, Pasig"
NCR,Mandaluyong,mandaluyong,22800000,100000.0,414545.4545,4.0,4.0,228.0,55.0,14.5766961,121.034781,Townhouse For sale in Mandaluyong city 3 Car garage,"Plainview, Mandaluyong"
NCR,San Juan,san juan,9750000,65878.37838,69642.85714,4.0,2.0,148.0,140.0,16.66243945,120.3306378,San Juan 4BR Near the Beach  Modern Design House and Lot Package (RFO),"Panicsican, San Juan"
NCR,Quezon City,quezon city,26000000,236363.6364,54621.84874,4.0,3.0,110.0,476.0,,,For Sale 4-Bedroom House & Lot along Cirilo Street near Don Antonio Quezon City,"Cirilo Street, Isidora Hills Subdivision Holy Spirit, Quezon City"
NCR,Quezon City,quezon city,35530000,179444.4444,320090.0901,4.0,3.0,198.0,111.0,14.6510546,121.0486254,RFO House and Lot for sale in the heart of Quezon City!,Quezon City
NCR,Quezon City,quezon city,73780000,295120.0,170000.0,3.0,3.0,250.0,434.0,14.6130801,121.0729596,"House and lot For Sale at Saint Ignatius Village, Quezon City","Saint Ignatius, Quezon City"
NCR,Taguig,taguig,63000000,366279.0698,157500.0,4.0,4.0,172.0,400.0,14.5494253,121.0509721,"AFPOVAI House and Lot for Sale - Phase 5 in AFPOVAI, Fort Bonifacio, Taguig City","Fort Bonifacio, Taguig"
NCR,Quezon City,quezon city,4200000,64615.38462,87500.0,3.0,2.0,65.0,48.0,14.7383609,121.0508834,New North Olympus Brand New Townhouse for Sale in Quezon City - jojo  Obra,"Kaligayahan, Quezon City"
NCR,Mandaluyong,mandaluyong,24000000,292682.9268,120000.0,3.0,2.0,82.0,200.0,14.5766961,121.034781,Renovated 3BR Townhouse in near Wack-Wack Manda shaw edsa,"Plainview, Mandaluyong"
NCR,Quezon City,quezon city,48000000,151639.6032,135977.3371,5.0,4.0,316.54,353.0,14.6862585,121.099335,"5 Bedroom Modern House For Sale in Vista Real Classica 2 Homes, Quezon City","Batasan Hills, Quezon City"
NCR,Manila,manila,13000000,100000.0,260000.0,3.0,,130.0,50.0,14.6142957,120.9911224,"3BR Townhouse in Sampaloc, Manila City For Sale near UST Manila","M Dela Fuente Sampaloc Manila Sampaloc, Manila"
NCR,Makati,makati,80000000,245398.773,245398.773,4.0,3.0,326.0,326.0,14.566261,121.0313853,"Rush Sale Old House and Lot in San Miguel Village, Makati City","Poblacion, Makati"
NCR,Quezon City,quezon city,7500000,54347.82609,129310.3448,4.0,4.0,138.0,58.0,14.70677915,121.0732365,Brand New 3 Story Townhouse in East Fairview Q.C. Philhomes - Jojo F Obra,"Philippines, Quezon City, Fairview Fairview, Quezon City"
NCR,San Juan,san juan,15300000,106993.007,566666.6667,3.0,3.0,143.0,27.0,14.6017402,121.0314553,"3 Bedroom Townhouse for Sale in San Juan, Modern and Practical Design","Onse, San Juan"
NCR,Quezon City,quezon city,22995980,83000.0,338176.1765,3.0,4.0,277.06,68.0,14.6442313,121.059698,"FOR SALE - Townhouse in Brgy. Teacher East Village, Quezon City","Teachers Village East, Quezon City"
NCR,Muntinlupa,muntinlupa,90000000,128571.4286,225000.0,5.0,5.0,700.0,400.0,,,"5 Bedroom House for Sale with Pool & Elevator at Hillsborough, Muntinlupa City","Buckingham, 1771 Muntinlupa, Philippines Cupang, Muntinlupa"
NCR,Quezon City,quezon city,8200000,73214.28571,136666.6667,3.0,2.0,112.0,60.0,,,2 Storey Ready for Occupancy Townhouse in NIA Tandang Sora Quezon City Last Unit,"Tandang Sora, Quezon City, National Capital Region, Philippines Tandang Sora, Quezon City"
NCR,Pasig,pasig,30000000,60000.0,147058.8235,6.0,5.0,500.0,204.0,14.5574086,121.0909665,"House and lot for Sale in Greenwoods Executive Village, Pasig City","Pinagbuhatan, Pasig"
NCR,Muntinlupa,muntinlupa,63500000,90714.28571,138043.4783,7.0,7.0,700.0,460.0,14.3801129,121.0514828,Pre-Owned Stylish 3 Storey Home with Swimming Pool for Sale in Muntinlupa City,"Tunasan, Muntinlupa"
NCR,Quezon City,quezon city,5400000,77142.85714,80000.0,3.0,2.0,70.0,67.5,,,"Brand New 3BR Townhouse for Sale in Cresta Verde, Quezon City, Philhomes","Cresta Verde Ave, Quezon City, Philippines Santa Monica, Quezon City"
NCR,Quezon City,quezon city,10500000,58333.33333,59659.09091,3.0,2.0,180.0,176.0,14.6838626,121.0761031,Timeless-Designed Single Detached House and Lot at Don Antonio Heights,"Holy Spirit, Quezon City"
NCR,Muntinlupa,muntinlupa,43000000,107500.0,113157.8947,4.0,5.0,400.0,380.0,,,"2-Storey House For Sale in Hillsborough Alabang, Muntinlupa City","Buckingham, 1771 Muntinlupa, Philippines Cupang, Muntinlupa"
NCR,Pasig,pasig,8530000,64135.33835,94777.77778,3.0,3.0,133.0,90.0,14.5842641,121.1013028,"Townhouse For Sale at Riverside Residences, Santa Lucia, Pasig City","Santa Lucia, Pasig"
NCR,Muntinlupa,muntinlupa,43000000,113157.8947,107500.0,4.0,5.0,380.0,400.0,,,Hillsborough Alabang 2 Storey House For Sale in Muntinlupa near Alabang West,"Buckingham, 1771 Muntinlupa, Philippines Cupang, Muntinlupa"
NCR,Quezon City,quezon city,16500000,97058.82353,165000.0,2.0,3.0,170.0,100.0,14.6383351,121.0595245,"Warm Modern Townhouse for sale in Sikatuna Village, Quezon City -Keziah","Sikatuna Village, Quezon City"
NCR,Quezon City,quezon city,23000000,151315.7895,433962.2642,3.0,4.0,152.0,53.0,14.6442313,121.059698,Serene and Private Townhouse for Sale in Quezon City,"Teachers Village East, Quezon City"
NCR,Quezon City,quezon city,9800000,82352.94118,153125.0,3.0,3.0,119.0,64.0,14.6909849,121.0464956,Ready for Occupancy Modern Townhouse,"Bucao St., Nia Village Tandang Sora , Quezon City Tandang Sora, Quezon City"
NCR,Pasig,pasig,55000000,264423.0769,,4.0,3.5,208.0,,14.5841307,121.0732458,"New in the market ! For Sale Luntala Townhouse in Valle Verde 7, Pasig","Ugong, Pasig"
NCR,Marikina,marikina,32000000,106666.6667,106666.6667,3.0,3.0,300.0,300.0,14.6271043,121.0800034,3 Storey Brand New House For Sale in Cinco Hermanos - Marikina,"Industrial Valley, Marikina"
NCR,Mandaluyong,mandaluyong,87000000,135937.5,201388.8889,4.0,3.0,640.0,432.0,14.5811187,121.0295749,Newly Renovated and Modern Classic Design House and Lot For Sale in Mandaluyong,"San Jose, Mandaluyong"
NCR,Pasig,pasig,75000000,129087.7797,114854.5176,5.0,5.0,581.0,653.0,,,Parkwood Greens Executive Village Pasig Nice Victorian House & Lot For Sale,"Suarez Ave, Pasig, Philippines Maybunga, Pasig"
NCR,Quezon City,quezon city,95000000,237500.0,230582.5243,4.0,4.0,400.0,412.0,14.619062,121.0731209,4 Bedroom House and Lot For Sale in Blue Ridge Quezon City with Pool,"Blue Ridge A, Quezon City"
NCR,San Juan,san juan,37380000,147165.3543,480833.5477,3.0,3.0,254.0,77.74,14.5942824,121.031553,"For Sale: 3 Bedroom House and Lot in Gruet Heights, San Juan","Maytunas, San Juan"
NCR,Muntinlupa,muntinlupa,10000000,31847.13376,63694.26752,3.0,4.0,314.0,157.0,14.3891448,121.0449804,"For Sale: 3 Bedroom House and Lot in Katarungan Village, Muntinlupa","Poblacion, Muntinlupa"
Region III (Central Luzon),Tarlac,tarlac,1140000,19000.0,5700.0,1.0,1.0,60.0,200.0,,,"San Rafael, Tarlac City, Foreclosed House and Lot - 10108000000356","Lot 153 Block 3, Road Lot 1, Filomena Subdivision San Rafael, Tarlac"
NCR,Makati,makati,18000000,114372.8555,146579.8046,3.0,2.0,157.38,122.8,,,"For Sale 2-Storey 3 Bedroom Single-family House with Garage, Porch, Makati","237 Apitong Street Comembo, Makati"
NCR,Quezon City,quezon city,45000000,112500.0,150000.0,5.0,5.0,400.0,300.0,14.7209396,121.038922,Breathtaking Brand New Modern Asian House and Lot For Sale in Casa Milan QC,"Novaliches, Quezon City"
NCR,Muntinlupa,muntinlupa,16884800,86588.71795,70353.33333,3.0,2.0,195.0,240.0,14.3801129,121.0514828,3 Bedroom House and Lot for sale at Victoria South of Alabang (Samantha),"Tunasan, Muntinlupa"
NCR,Quezon City,quezon city,16500000,63461.53846,206250.0,3.0,4.0,260.0,80.0,,,Kamuning 2 Car Garage Townhouse Spacious Bedrooms Plus Roofdeck SD,"Kamuning, Quezon City, National Capital Region, Philippines Kamuning, Quezon City"
NCR,Quezon City,quezon city,16500000,63461.53846,102484.472,4.0,3.0,260.0,161.0,14.6410904,121.0737779,Rush Sale! P16.5M NET Xavierville 1 Old House L.A.161 sqm,"Loyola Heights, Quezon City"
NCR,Marikina,marikina,12000000,,50000.0,3.0,2.0,,240.0,14.6405888,121.1208184,House & Lot for Sale in Marikina City,"Concepcion Dos, Marikina"
NCR,Pasig,pasig,7500000,41666.66667,125000.0,4.0,4.0,180.0,60.0,14.5574086,121.0909665,zero dp house for sale in greenwoods executive village pasig,"Pinagbuhatan, Pasig"
NCR,Muntinlupa,muntinlupa,16884800,86588.71795,70353.33333,5.0,4.0,195.0,240.0,14.3801129,121.0514828,5 Bedrooms Single Detached Complete House Sale Victoria Alabang Manila,"Tunasan, Muntinlupa"
NCR,Quezon City,quezon city,6000000,50000.0,98895.66507,5.0,2.0,120.0,60.67,,,2 Storey Townhouse for Sale Near Cubao Q.C.,"84F Brgy Claro Aguho Street, Project 3, Quezon City near Cubao Claro, Quezon City"
NCR,Pasig,pasig,16000000,84210.52632,66666.66667,9.0,4.0,190.0,240.0,14.5889935,121.0678685,2 HOUSE & LOT /2 House property 9 BR 4 T&B 3 Car Garage,"Ortigas Avenue, Pasig"
NCR,San Juan,san juan,13554567,135545.67,67772.835,3.0,3.0,100.0,200.0,13.7440111,121.4281827,3 Bedroom beach house Property for Sale in Sea Front Residences,San Juan
NCR,Pasig,pasig,25800000,121698.1132,228318.5841,3.0,3.0,212.0,113.0,14.5711649,121.0594975,"113 sqm 3BR Townhouse with 2 Parking Slots for Sale in Kapitolyo, Pasig City","Kapitolyo, Pasig"
NCR,San Juan,san juan,39500000,79000.0,137630.662,4.0,3.0,500.0,287.0,14.6017402,121.0314553,Spacious and Airy House and Lot For Sale in San Juan City,"Onse, San Juan"
NCR,Quezon City,quezon city,10280000,46727.27273,133506.4935,5.0,3.0,220.0,77.0,14.7383609,121.0508834,2 Car Garage New Heaven Villas Townhouse for Sale near Landers,"Kaligayahan, Quezon City"
NCR,Quezon City,quezon city,35000000,100000.0,70564.51613,4.0,3.0,350.0,496.0,14.6679617,121.0565912,"Sanville Subdivision, Quezon City | Four Bedroom House and Lot For Sale - #6305","Culiat, Quezon City"
NCR,Muntinlupa,muntinlupa,3950000,60769.23077,79000.0,3.0,2.0,65.0,50.0,14.3891448,121.0449804,Katarungan Village Muntinlupa Affordable 3-BR Townhouse For Sale,"Poblacion, Muntinlupa"
NCR,Muntinlupa,muntinlupa,52000000,108333.3333,104000.0,6.0,4.5,480.0,500.0,,,"Susana Heights, Muntinlupa City House and Lot for Sale! 2 Storey 6 Bedroom","Tunasan, Muntinlupa, National Capital Region, Philippines Tunasan, Muntinlupa"
NCR,Quezon City,quezon city,12230000,66856.17449,194745.2229,3.0,3.0,182.93,62.8,14.6361294,121.0335841,182sqm 3BR 3 Storey Townhouse for sale near Teachers Village Diliman Quezon City,"Diliman, Quezon City"
NCR,Quezon City,quezon city,20000000,66666.66667,83333.33333,5.0,5.0,300.0,240.0,14.6978613,121.1104093,"2 Storey House and Lot for Sale in Filinvest 2, Batasan Hills, Quezon City","Bagong Silangan, Quezon City"
NCR,Marikina,marikina,6900000,77615.29809,130188.6792,3.0,2.0,88.9,53.0,,,Marikina Heights TOWNHOUSE  2 Storey 3 bedroom with Parking,"Ordonez St. Corner Champaca St. Marikina Heights, Marikina"
NCR,Quezon City,quezon city,25000000,126262.6263,,3.0,4.0,198.0,,14.6063578,121.0818908,"Newly Renovated Townhouse for sale at Circulo Verde, Quezon City","Bagumbayan, Quezon City"
NCR,Muntinlupa,muntinlupa,2700000,72972.97297,34177.21519,2.0,1.0,37.0,79.0,,,"Two (2) Bedroom House and Lot at Victoria Homes, Muntinlupa City For Sale","Magenta St., Saphhire Hills, Victoria Homes, Muntinlupa City Tunasan, Muntinlupa"
NCR,Marikina,marikina,8500000,134920.6349,29513.88889,2.0,1.0,63.0,288.0,14.6405888,121.1208184,"For Sale Residential House and Lot in SSS Village, Marikina City","Concepcion Dos, Marikina"
NCR,Quezon City,quezon city,17500000,58333.33333,72916.66667,5.0,3.0,300.0,240.0,14.6978613,121.1104093,2 Storey House and Lot for Sale in Filinvest 2 Batasan Hills  Quezon City,"1 Bagong Silangan, Quezon City"
NCR,Quezon City,quezon city,92000000,218527.3159,230000.0,5.0,5.0,421.0,400.0,14.6716797,121.0745345,Brand New House and Lot For Sale Capitol Homes Quezon City with Pool,"Matandang Balara, Quezon City"
NCR,San Juan,san juan,57000000,148051.9481,,5.0,4.0,385.0,,14.6087274,121.0332511,Francis Court Townhouse  | Five Bedroom Townhouse for Sale at San Juan - #5842,"Pasadena, San Juan"
NCR,Pasig,pasig,29000000,64444.44444,151832.4607,6.0,6.0,450.0,191.0,14.5904898,121.0882718,6 Bedroom Modern Corner lot Haven with swimming pool located in Pasig city.,"Rosario, Pasig"
NCR,Quezon City,quezon city,45000000,128571.4286,96982.75862,5.0,5.0,350.0,464.0,14.6838626,121.0761031,"House and Lot for Sale in BF Homes Quezon City, Metro Manila","Holy Spirit, Quezon City"
NCR,Quezon City,quezon city,15000000,49504.9505,166666.6667,5.0,4.0,303.0,90.0,14.6862585,121.099335,"For Sale Brand New Townhouse in Filinvest 2, Quezon City","Batasan Hills, Quezon City"
NCR,Quezon City,quezon city,25000000,92592.59259,247524.7525,3.0,3.0,270.0,101.0,14.6432727,121.0308148,"3 Bedroom House and Lot For Sale in Quezon City, West Avenue","West Triangle, Quezon City"
NCR,Quezon City,quezon city,28000000,,93333.33333,6.0,2.0,,300.0,14.6305587,121.0495397,"Bungalow House for SALE in West Kamias, Quezon City","West Kamias, Quezon City"
NCR,Marikina,marikina,18000000,69230.76923,125000.0,3.0,3.0,260.0,144.0,14.6403852,121.0966298,"For Sale: House & Lot in Vista Valley Executive Village, Marikina City","Santo Nino, Marikina"
NCR,Quezon City,quezon city,8000000,72727.27273,177777.7778,3.0,2.0,110.0,45.0,14.6868317,121.035975,3 Storey Townhouse for Sale in Tandang Sora near Mindanao Avenue Quezon City,"1 Tandang Sora, Quezon City"
NCR,Manila,manila,27000000,,150000.0,6.0,6.0,,180.0,14.6031403,120.993417,"For Sale Ancestral House & Lot Circa 1928 Earnshaw, Manila (Neg.)","Sampaloc, Manila"
NCR,Quezon City,quezon city,45000000,112500.0,150000.0,5.0,5.0,400.0,300.0,14.7209396,121.038922,4 BR Modern Elegant Home for Sale in Novaliches Quezon City near SM Fairview,"Novaliches, Quezon City"
NCR,Quezon City,quezon city,16500000,68750.0,275000.0,4.0,4.0,240.0,60.0,14.6292389,121.0458642,"For Sale Brand New Townhouse in Kamuning, Quezon City","K-3rd Street Kamuning, Quezon City"
NCR,San Juan,san juan,28000000,66666.66667,88888.88889,8.0,4.0,420.0,315.0,14.6063099,121.0502649,"For Sale: 315 sqm Pre-Owned Residential House & Lot in West Crame, San Juan City","West Crame, San Juan"
NCR,Quezon City,quezon city,72000000,142857.1429,240000.0,4.0,4.0,504.0,300.0,14.6862585,121.099335,"Modern House and Lot in Vista Real Classica, Quezon City For Sale","Batasan Hills, Quezon City"
NCR,Pasig,pasig,29000000,86826.34731,123404.2553,5.0,4.0,334.0,235.0,14.5658684,121.0855568,Greenwoods Executive Village House and Lot for Sale! Pasig City,"San Miguel, Pasig"
NCR,Muntinlupa,muntinlupa,24000000,96000.0,80000.0,4.0,,250.0,300.0,14.4569804,121.0531587,For Sale: House and Lot in Sucat Muntinlupa (Pre-owned) w/ 2 Car Garage,"Sucat, Muntinlupa"
NCR,Pasig,pasig,25500000,72857.14286,170000.0,7.0,6.0,350.0,150.0,14.5658684,121.0855568,Modern Asian 3-Storey House with Pool in Greenwoods Executive Village Pasig City,"San Miguel, Pasig"
NCR,Marikina,marikina,6500000,21666.66667,17105.26316,5.0,3.0,300.0,380.0,14.6510742,121.1038227,"Unfinished House and Lot for Sale in Concepcion Uno, Marikina","Concepcion Uno, Marikina"
NCR,Muntinlupa,muntinlupa,13000000,92857.14286,54166.66667,3.0,3.0,140.0,240.0,14.3801129,121.0514828,"Alyza Single Detached in Victoria South of Alabang, Muntinlupa","Tunasan, Muntinlupa"
NCR,Pasig,pasig,25000000,65789.47368,166666.6667,6.0,6.0,380.0,150.0,14.5658684,121.0855568,"Modern Contemporary House for sale in Greenwoods Pasig city near Taguig, Makati","San Miguel, Pasig"
NCR,Quezon City,quezon city,5480000,58063.14897,91333.33333,3.0,2.0,94.38,60.0,,,Single Attached House and Lot For Sale in Zabarte Subd. Quezon City,"Penguin St., Zabarte Subd., Quezon City Kaligayahan, Quezon City"
NCR,Marikina,marikina,6500000,80246.91358,73189.95609,3.0,2.0,81.0,88.81,14.6589442,121.1118171,Preselling 3 Bedroom 2 Carpark In Parang Marikina,"Parang, Marikina"
NCR,Quezon City,quezon city,6950000,72395.83333,115833.3333,3.0,3.0,96.0,60.0,14.7055228,121.0742821,Townhouse For Sale in North Fairview with 1 Car Garage and 3 Bedrooms. PH2594,"Fairview, Quezon City"
NCR,Muntinlupa,muntinlupa,63500000,90714.28571,138043.4783,7.0,7.0,700.0,460.0,14.4185637,121.0447216,"7 Bedroom House and Lot For Sale at Muntinlupa, Metro Manila","Alabang, Muntinlupa"
NCR,Marikina,marikina,6600000,47142.85714,94285.71429,4.0,2.0,140.0,70.0,,,RFO 2 Storey Townhouse For Sale w/ 4BR in Marikina Heights PH2886,"Panorama St, 1811 Marikina, Philippines Marikina Heights, Marikina"
NCR,Muntinlupa,muntinlupa,50000000,105263.1579,147928.9941,4.0,4.0,475.0,338.0,14.3801129,121.0514828,"Modern 4BR House and Lot for sale - Lindenwood, Muntinlupa City","Tunasan, Muntinlupa"
NCR,Quezon City,quezon city,13000000,72222.22222,216666.6667,3.0,3.0,180.0,60.0,14.6361294,121.0335841,"Duplex House For Sale in New Intramuros Village, Quezon City","Diliman, Quezon City"
NCR,Quezon City,quezon city,10900000,77857.14286,136250.0,3.0,1.0,140.0,80.0,14.6679427,121.0340442,"80 sqm Lot with 3 Bedrooms near Congressional, Quezon City","Congressional Avenue, Quezon City"
NCR,Caloocan,caloocan,4438000,61638.88889,55475.0,3.0,2.0,72.0,80.0,14.7547818,121.0256669,For Sale: Single Attached 3 bedrooms in Caloocan nr in SM Fairview with parking,"Saranay Road Bagumbong Caloocan City Bagumbong, Caloocan"
NCR,Pasig,pasig,7000000,63636.36364,95890.41096,3.0,3.0,110.0,73.0,,,"2-Storey Townhouse for sale in Rosario, Pasig City, Metro Manila","De Castro Ave, Pasig, Philippines Rosario, Pasig"
NCR,Quezon City,quezon city,22600000,85061.53788,332352.9412,4.0,4.0,265.69,68.0,14.6442313,121.059698,"4 Storey Semi Furnished Townhouse For Sale in Teachers Village, Quezon City","Teachers Village East, Quezon City"
NCR,Quezon City,quezon city,16000000,91428.57143,238805.9701,3.0,3.0,175.0,67.0,14.6442313,121.059698,"Townhouse For Sale in Teachers Village, Quezon City near Araneta Center","Teachers Village East, Quezon City"
NCR,Pasig,pasig,8530000,64621.21212,94777.77778,3.0,2.0,132.0,90.0,14.5842641,121.1013028,New Townhouse For Sale - Exclusive Village in Pasig City,"Santa Lucia, Pasig"
NCR,Quezon City,quezon city,5000000,72463.76812,142857.1429,2.0,1.0,69.0,35.0,14.6641862,121.0201724,2 Bedroom Townhouse Unit for Sale at Quezon City in July Extension,"Project 8, Quezon City"
NCR,Pasig,pasig,15500000,86111.11111,129166.6667,5.0,3.0,180.0,120.0,14.5658684,121.0855568,5 Bedroom Sophisticated Brand New 2-Storey House for sale in Greenwoods Pasig,"San Miguel, Pasig"
NCR,Taguig,taguig,22749290,190737.7379,303323.8667,4.0,4.0,119.27,75.0,,,4 Bedrooms House and Lot For Sale near Makati and Global City Taguig,"M Residences at Mahogany Place 3, Acacia Estates, Taguig City Bambang, Taguig"
NCR,Taguig,taguig,24372955,146825.0301,324972.7333,4.0,3.0,166.0,75.0,14.525747,121.0729149,"RFO Prime Luxury New Townhouse For Sale at Acacia Estates, Taguig City","Bambang, Taguig"
NCR,Pasig,pasig,16500000,90659.34066,129921.2598,4.0,3.0,182.0,127.0,14.5658684,121.0855568,Newly Built Modern House in Greenwoods Executive Village (Corner Lot) for Sale!,"San Miguel, Pasig"
NCR,Taguig,taguig,45000000,121621.6216,225000.0,4.0,3.0,370.0,200.0,14.5095273,121.0380244,Modern 4BR House with Swimming Pool in AFPOVAI Taguig for Sale,"Western Bicutan, Taguig"
