Region,Area_slug,Area_display,Year,total_rain_mm,wet_days,heavy_rain_days,tmax_avg,tmin_avg,tavg_avg,rh_avg,wind_speed_avg
NCR,manila,Manila,2018,2507.4,122,14,31.68383561643836,25.446027397260274,28.564931506849316,72.92876712328767,2.263013698630137
NCR,manila,Manila,2019,1887.0,100,8,32.02082191780822,25.47287671232877,28.746849315068495,70.73698630136987,2.654794520547945
NCR,manila,Manila,2020,1453.1,95,5,32.29294117647059,25.539411764705882,28.916176470588237,70.45882352941176,2.476470588235294
NCR,manila,Manila,2021,1999.5,122,9,31.993972602739724,25.0986301369863,28.546301369863013,71.77808219178083,2.5835616438356164
NCR,manila,Manila,2022,2057.4,128,9,32.14931506849315,25.365753424657534,28.757534246575343,71.18904109589042,2.4794520547945207
NCR,manila,Manila,2023,2659.8,118,16,32.092434210526314,25.445723684210527,28.769078947368417,71.84539473684211,2.7434210526315788
NCR,pasay,Pasay,2018,1832.5,96,8,32.311581920903954,25.333333333333332,28.82245762711864,78.01694915254237,3.0395480225988702
NCR,pasay,Pasay,2019,1466.8,94,5,32.56814404432133,25.765650969529084,29.166897506925206,71.52631578947368,3.1634349030470914
NCR,pasay,Pasay,2020,1209.5,83,3,32.9244966442953,25.389261744966444,29.15687919463087,72.0738255033557,2.721476510067114
NCR,pasay,Pasay,2021,1449.5,110,5,32.69397260273973,25.55095890410959,29.12246575342466,73.54246575342465,2.695890410958904
NCR,pasay,Pasay,2022,1829.0,121,4,32.66203966005666,25.588101983002833,29.125070821529743,74.0056657223796,2.634560906515581
NCR,pasay,Pasay,2023,1948.2,137,6,32.59561643835616,25.696438356164386,29.146027397260273,75.1041095890411,2.8575342465753426
NCR,quezon,Quezon,2018,3571.4,142,21,31.776164383561643,24.08219178082192,27.92917808219178,73.24931506849315,1.2904109589041095
NCR,quezon,Quezon,2019,2372.4,130,12,32.21013698630137,24.312602739726028,28.261369863013698,71.71780821917808,1.3123287671232877
NCR,quezon,Quezon,2020,2477.2,141,10,32.26311475409836,24.425409836065576,28.34426229508197,73.61475409836065,1.139344262295082
NCR,quezon,Quezon,2021,2334.9,130,9,31.74736842105263,24.48365650969529,28.115512465373964,75.14958448753463,1.1966759002770082
NCR,quezon,Quezon,2022,2641.7,148,15,31.92849315068493,24.50027397260274,28.214383561643835,75.38082191780822,1.0794520547945206
NCR,quezon,Quezon,2023,3187.2,146,23,31.826301369863014,24.481643835616435,28.153972602739728,75.37534246575342,1.2027397260273973
Region III (Central Luzon),baler aurora,"Baler, Aurora",2018,2926.9,170,12,30.51095890410959,23.377808219178082,26.94438356164384,85.76438356164384,1.9479452054794522
Region III (Central Luzon),baler aurora,"Baler, Aurora",2019,2521.2,157,12,30.872328767123285,23.50109589041096,27.186712328767122,86.2904109589041,1.915068493150685
Region III (Central Luzon),baler aurora,"Baler, Aurora",2020,4518.9,199,29,30.439617486338797,23.511475409836066,26.975546448087428,87.32513661202186,1.7322404371584699
Region III (Central Luzon),baler aurora,"Baler, Aurora",2021,2676.9,152,13,30.659504132231405,23.496143250688707,27.077823691460054,84.84848484848484,2.068870523415978
Region III (Central Luzon),baler aurora,"Baler, Aurora",2022,3676.8,195,19,30.23013698630137,23.43917808219178,26.834657534246574,86.75342465753425,1.978082191780822
Region III (Central Luzon),baler aurora,"Baler, Aurora",2023,2645.8,157,10,31.066438356164383,23.701095890410958,27.383767123287672,82.45205479452055,1.8054794520547945
Region III (Central Luzon),cabanatuan nueva ecija,"Cabanatuan, Nueva Ecija",2018,2120.5,98,10,33.0545205479452,23.72027397260274,28.38739726027397,77.97808219178083,1.3917808219178083
Region III (Central Luzon),casiguran aurora,"Casiguran, Aurora",2018,2608.2,156,13,31.330958904109586,23.408493150684933,27.369726027397263,87.58082191780822,2.098901098901099
Region III (Central Luzon),casiguran aurora,"Casiguran, Aurora",2019,2647.4,152,10,31.765205479452053,23.216438356164385,27.49082191780822,85.79452054794521,1.7417582417582418
Region III (Central Luzon),casiguran aurora,"Casiguran, Aurora",2020,4743.9,177,29,31.514754098360655,22.525683060109287,27.02021857923497,85.93442622950819,1.530054644808743
Region III (Central Luzon),casiguran aurora,"Casiguran, Aurora",2021,3329.8,153,15,31.342191780821917,22.490684931506852,26.916438356164385,84.41917808219178,1.906849315068493
Region III (Central Luzon),casiguran aurora,"Casiguran, Aurora",2022,4235.6,204,24,31.024109589041093,22.304931506849314,26.664520547945205,86.10684931506849,1.5013698630136987
Region III (Central Luzon),casiguran aurora,"Casiguran, Aurora",2023,2938.0,164,12,31.5986301369863,22.952876712328766,27.275753424657534,84.52328767123288,1.8767123287671232
Region III (Central Luzon),clark pampanga,"Clark, Pampanga",2018,2756.9,122,17,31.767671232876715,24.350684931506848,28.05917808219178,73.38356164383562,2.3698630136986303
Region III (Central Luzon),clark pampanga,"Clark, Pampanga",2019,1939.5,126,6,32.0131506849315,24.11068493150685,28.061917808219178,74.11780821917809,2.336986301369863
Region III (Central Luzon),clark pampanga,"Clark, Pampanga",2020,1837.7,123,7,32.73989071038251,24.261475409836066,28.50068306010929,74.01639344262296,2.3442622950819674
Region III (Central Luzon),clark pampanga,"Clark, Pampanga",2021,1843.3,113,10,32.420273972602736,24.16191780821918,28.291095890410958,73.62191780821918,2.2465753424657535
Region III (Central Luzon),clark pampanga,"Clark, Pampanga",2022,1942.3,117,9,32.68630136986302,24.632328767123287,28.65931506849315,70.64383561643835,2.1561643835616437
Region III (Central Luzon),clark pampanga,"Clark, Pampanga",2023,2111.5,109,11,32.71506849315068,24.636164383561646,28.675616438356165,72.40547945205479,2.1561643835616437
Region III (Central Luzon),iba zambales,"Iba, Zambales",2018,4067.3,126,29,30.79835616438356,25.01890410958904,27.9086301369863,78.57260273972602,2.276712328767123
Region III (Central Luzon),iba zambales,"Iba, Zambales",2019,4465.2,130,29,31.310410958904107,24.11068493150685,27.71054794520548,77.6054794520548,2.1671232876712327
Region III (Central Luzon),iba zambales,"Iba, Zambales",2020,2426.3,114,9,31.953551912568305,24.271311475409835,28.11243169398907,76.23224043715847,2.0437158469945356
Region III (Central Luzon),iba zambales,"Iba, Zambales",2021,3631.9,119,20,32.06219178082192,24.333698630136983,28.197945205479453,77.25753424657535,2.158904109589041
Region III (Central Luzon),iba zambales,"Iba, Zambales",2022,2797.9,122,15,30.985205479452055,24.072054794520547,27.528630136986305,79.14794520547945,2.0356164383561643
Region III (Central Luzon),iba zambales,"Iba, Zambales",2023,4485.8,113,29,31.158082191780824,24.422739726027395,27.79041095890411,79.21917808219177,2.197260273972603
Region III (Central Luzon),infanta quezon,"Infanta, Quezon",2018,2831.84,183,10,30.732602739726026,22.844109589041096,26.78835616438356,86.67671232876712,1.8904109589041096
Region III (Central Luzon),infanta quezon,"Infanta, Quezon",2019,2046.33,166,6,31.321095890410962,23.997808219178083,27.65945205479452,86.00821917808219,1.632876712328767
Region III (Central Luzon),infanta quezon,"Infanta, Quezon",2020,4468.9,213,26,30.97486338797814,23.968852459016393,27.47185792349727,87.8360655737705,1.6775956284153006
Region III (Central Luzon),infanta quezon,"Infanta, Quezon",2021,3540.9,224,15,30.80767123287671,24.160273972602738,27.483972602739726,85.57260273972602,1.9397260273972603
Region III (Central Luzon),infanta quezon,"Infanta, Quezon",2022,4111.6,238,17,30.96794520547945,24.057534246575344,27.512739726027398,86.67671232876712,1.6602739726027398
Region III (Central Luzon),infanta quezon,"Infanta, Quezon",2023,3423.7,196,18,31.2441095890411,24.681643835616438,27.962876712328768,84.51780821917808,1.8246575342465754
Region III (Central Luzon),munoz nueva ecija,"Muñoz, Nueva Ecija",2019,2005.8,116,12,32.49808219178082,23.223561643835616,27.86082191780822,79.14246575342466,2.1835616438356165
Region III (Central Luzon),munoz nueva ecija,"Muñoz, Nueva Ecija",2020,1973.7,111,9,33.01448087431694,23.432513661202183,28.223497267759562,78.3360655737705,2.180327868852459
Region III (Central Luzon),munoz nueva ecija,"Muñoz, Nueva Ecija",2021,1454.5,101,7,32.845479452054796,23.81287671232877,28.32917808219178,75.22191780821917,2.4438356164383563
Region III (Central Luzon),munoz nueva ecija,"Muñoz, Nueva Ecija",2022,1603.6,109,7,32.68684931506849,23.739178082191778,28.21301369863014,77.25205479452055,2.336986301369863
Region III (Central Luzon),munoz nueva ecija,"Muñoz, Nueva Ecija",2023,1375.7,109,3,33.21287671232877,23.934520547945205,28.573698630136985,74.85479452054794,2.3315068493150686
Region III (Central Luzon),olongapo zambales,"Olongapo, Zambales",2018,4866.3,111,36,32.34328767123287,24.395890410958906,28.36958904109589,74.37808219178082,3.789041095890411
Region III (Central Luzon),olongapo zambales,"Olongapo, Zambales",2019,4436.3,119,33,31.90794520547945,23.99150684931507,27.949726027397258,76.03287671232877,3.4356164383561643
Region III (Central Luzon),olongapo zambales,"Olongapo, Zambales",2020,2163.3,106,12,32.192622950819676,24.285245901639342,28.23893442622951,74.93989071038251,3.4508196721311477
Region III (Central Luzon),olongapo zambales,"Olongapo, Zambales",2021,2990.1,105,20,32.15561643835616,24.302465753424656,28.229041095890413,73.43835616438356,3.526027397260274
Region III (Central Luzon),olongapo zambales,"Olongapo, Zambales",2022,3195.2,118,18,32.02821917808219,24.272054794520546,28.15013698630137,73.62191780821918,3.249315068493151
Region III (Central Luzon),olongapo zambales,"Olongapo, Zambales",2023,4098.3,109,32,32.11232876712329,24.464383561643835,28.28835616438356,74.42739726027398,3.56986301369863
Region IV-A (CALABARZON),alabat quezon,"Alabat, Quezon",2018,3178.5,178,16,31.0972602739726,23.97945205479452,27.53835616438356,82.55342465753425,1.7933884297520661
Region IV-A (CALABARZON),alabat quezon,"Alabat, Quezon",2019,1845.4,138,6,31.5586301369863,23.692054794520548,27.625342465753423,79.57260273972602,1.6082191780821917
Region IV-A (CALABARZON),alabat quezon,"Alabat, Quezon",2020,4243.6,203,22,31.16994535519126,24.0103825136612,27.59016393442623,83.46448087431693,1.5245901639344261
Region IV-A (CALABARZON),alabat quezon,"Alabat, Quezon",2021,3794.1,190,15,30.89369863013699,24.26931506849315,27.58150684931507,84.72602739726027,1.7726027397260273
Region IV-A (CALABARZON),alabat quezon,"Alabat, Quezon",2022,3866.6,222,21,31.02849315068493,24.49369863013699,27.761095890410957,85.56712328767124,1.5808219178082192
Region IV-A (CALABARZON),alabat quezon,"Alabat, Quezon",2023,3923.8,203,19,31.318082191780825,24.744931506849316,28.03150684931507,84.25753424657535,2.095890410958904
Region IV-A (CALABARZON),ambulong batangas,"Ambulong, Batangas",2018,2119.22,126,13,32.113150684931504,23.7013698630137,27.9072602739726,81.9013698630137,1.9397260273972603
Region IV-A (CALABARZON),ambulong batangas,"Ambulong, Batangas",2019,1494.9,98,3,32.46109589041096,23.555068493150685,28.008082191780822,81.13972602739726,1.9232876712328768
Region IV-A (CALABARZON),ambulong batangas,"Ambulong, Batangas",2020,1877.1,128,7,32.611647727272725,23.955681818181816,28.283664772727274,82.30681818181819,1.8465909090909092
Region IV-A (CALABARZON),ambulong batangas,"Ambulong, Batangas",2021,1772.3,133,7,31.85232876712329,23.957534246575342,27.904931506849312,81.35068493150685,2.3095890410958906
Region IV-A (CALABARZON),ambulong batangas,"Ambulong, Batangas",2022,2218.5,146,9,31.744931506849316,23.908767123287674,27.82684931506849,81.22191780821917,1.9342465753424658
Region IV-A (CALABARZON),ambulong batangas,"Ambulong, Batangas",2023,1756.5,138,1,31.757534246575343,24.175890410958907,27.966712328767123,79.4904109589041,2.0602739726027397
Region IV-A (CALABARZON),cavite,Cavite,2018,2464.8,104,12,32.073150684931505,26.440547945205477,29.256849315068493,76.97534246575343,2.9287671232876713
Region IV-A (CALABARZON),cavite,Cavite,2019,1912.0,88,11,32.61260273972603,26.15068493150685,29.381643835616437,74.78356164383561,2.978082191780822
Region IV-A (CALABARZON),cavite,Cavite,2020,1776.2,109,7,32.79890710382514,26.247814207650276,29.523360655737704,76.85519125683061,2.628415300546448
Region IV-A (CALABARZON),cavite,Cavite,2021,1504.4,95,6,32.50027397260274,26.244383561643836,29.372328767123285,75.73972602739725,2.589041095890411
Region IV-A (CALABARZON),cavite,Cavite,2022,1955.2,116,5,32.36813186813187,26.27417582417582,29.321153846153845,76.25549450549451,2.7747252747252746
Region IV-A (CALABARZON),cavite,Cavite,2023,1834.4,110,7,32.256986301369864,26.36328767123288,29.310136986301373,75.09041095890412,3.2164383561643834
Region IV-A (CALABARZON),tanay rizal,"Tanay, Rizal",2018,3093.0,150,17,26.094794520547946,19.210684931506847,22.6527397260274,86.9945205479452,3.3068493150684932
Region IV-A (CALABARZON),tanay rizal,"Tanay, Rizal",2019,2486.8,143,13,26.34246575342466,20.815616438356162,23.57904109589041,86.15342465753425,3.3835616438356166
Region IV-A (CALABARZON),tanay rizal,"Tanay, Rizal",2020,2706.2,150,14,26.6775956284153,21.09617486338798,23.88688524590164,86.01912568306011,3.068306010928962
Region IV-A (CALABARZON),tanay rizal,"Tanay, Rizal",2021,2452.3,162,11,26.012328767123286,20.92054794520548,23.466438356164385,87.90958904109588,3.515068493150685
Region IV-A (CALABARZON),tanay rizal,"Tanay, Rizal",2022,3289.9,167,14,26.217260273972602,20.93890410958904,23.578082191780823,88.14794520547945,3.282191780821918
Region IV-A (CALABARZON),tanay rizal,"Tanay, Rizal",2023,2780.4,167,12,26.225357142857145,20.813186813186814,23.519271978021976,88.61538461538461,3.4505494505494507
